chemical_id	chemical_name	disease_id	disease_name	edge_type
UMLS:C0001047	acetylcysteine	UMLS:C0002726	Amyloidosis	TREATS_CDtDO
UMLS:C0001047	acetylcysteine	UMLS:C0006267	bronchiectasis	TREATS_CDtDO
UMLS:C0001047	acetylcysteine	UMLS:C0006277	Bronchitis	TREATS_CDtDO
UMLS:C0001047	acetylcysteine	UMLS:C0237963	Poisoning by acetaminophen	TREATS_CDtDO
UMLS:C0001047	acetylcysteine	UMLS:C0392164	Cystic fibrosis of the lung	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0008049	Varicella	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0019342	Genital herpes simplex	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0019345	Herpes labialis	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0019348	Herpes simplex	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0019360	Herpes zoster	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0276226	Encephalitis due to Herpesvirus	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C0349719	Herpes simplex infection of skin	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C1274321	Recurrent herpes simplex labialis	TREATS_CDtDO
UMLS:C0001367	aciclovir	UMLS:C1274323	Recurrent genital herpes simplex	TREATS_CDtDO
UMLS:C0001443	adenosine	UMLS:C0030590	Paroxysmal supraventricular tachycardia	TREATS_CDtDO
UMLS:C0001465	adenosine phosphate	UMLS:C0392164	Cystic fibrosis of the lung	TREATS_CDtDO
UMLS:C0001655	corticotropin	UMLS:C0014544	epilepsy	TREATS_CDtDO
UMLS:C0001655	corticotropin	UMLS:C0038325	Stevens-Johnson syndrome	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0005743	Blepharoconjunctivitis	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0009768	Bacterial conjunctivitis	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0010032	Corneal abrasion	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0022568	Keratitis	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0029878	Otitis externa	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0042029	Urinary tract infectious disease	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0042164	Uveitis	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0684256	Bacterial septicemia	TREATS_CDtDO
UMLS:C0001714	Polymyxin B	UMLS:C0854211	Bacterial keratitis	TREATS_CDtDO
UMLS:C0001911	albendazole	UMLS:C0152068	Echinococcus granulosus infection	TREATS_CDtDO
UMLS:C0001911	albendazole	UMLS:C0338437	Cerebral cysticercosis	TREATS_CDtDO
UMLS:C0001927	salbutamol	UMLS:C0006266	Bronchospasm	TREATS_CDtDO
UMLS:C0001927	salbutamol	UMLS:C0347950	Acute exacerbation of asthma	TREATS_CDtDO
UMLS:C0001937	alclofenac	UMLS:C0003873	rheumatoid arthritis	TREATS_CDtDO
UMLS:C0001937	alclofenac	UMLS:C0030193	Pain	TREATS_CDtDO
UMLS:C0001962	ethanol	UMLS:C0443072	Antiseptic preparation	TREATS_CDtDO
UMLS:C0001964	propanol	UMLS:C0443072	Antiseptic preparation	TREATS_CDtDO
UMLS:C0002083	allantoin	UMLS:C0033774	Itching of skin	TREATS_CDtDO
UMLS:C0002083	allantoin	UMLS:C0033860	psoriasis	TREATS_CDtDO
UMLS:C0002083	allantoin	UMLS:C0036508	Seborrheic dermatitis	TREATS_CDtDO
UMLS:C0002083	allantoin	UMLS:C0152030	Skin irritation	TREATS_CDtDO
UMLS:C0002083	allantoin	UMLS:C0423775	Pityriasis simplex	TREATS_CDtDO
UMLS:C0002144	allopurinol	UMLS:C0018099	gout	TREATS_CDtDO
UMLS:C0002144	allopurinol	UMLS:C0740394	Hyperuricemia	TREATS_CDtDO
UMLS:C0002164	almitrine	UMLS:C0024117	chronic obstructive pulmonary disease	TREATS_CDtDO
UMLS:C0002335	alprostadil	UMLS:C0003492	Coarctation of aorta	TREATS_CDtDO
UMLS:C0002335	alprostadil	UMLS:C0039685	Tetralogy of Fallot	TREATS_CDtDO
UMLS:C0002335	alprostadil	UMLS:C0238397	Pulmonary artery stenosis	TREATS_CDtDO
UMLS:C0002335	alprostadil	UMLS:C0242350	Impotence	TREATS_CDtDO
UMLS:C0002335	alprostadil	UMLS:C0243002	Congenital atresia of tricuspid valve	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0013295	Duodenal ulcer disease	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0013395	Indigestion	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0017168	Gastroesophageal reflux disease	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0018834	Heartburn	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0030920	Peptic ulcer	TREATS_CDtDO
UMLS:C0002371	algeldrate	UMLS:C0038358	Gastric ulcer	TREATS_CDtDO
UMLS:C0002403	amantadine	UMLS:C0015371	Extrapyramidal disease	TREATS_CDtDO
UMLS:C0002403	amantadine	UMLS:C0030567	Parkinson's disease	TREATS_CDtDO
UMLS:C0002403	amantadine	UMLS:C0030568	Postencephalitic parkinsonism	TREATS_CDtDO
UMLS:C0002403	amantadine	UMLS:C0242422	Parkinsonism	TREATS_CDtDO
UMLS:C0002412	ambenonium	UMLS:C0026896	Myasthenia gravis	TREATS_CDtDO
UMLS:C0002475	mitomycin	UMLS:C0153463	pancreatic cancer	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0004626	Bacterial pneumonia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0008311	Cholangitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0014347	Infection due to Enterobacteriaceae	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0014836	Infection due to Escherichia coli	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0029443	Osteomyelitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0032308	Staphylococcal pneumonia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0035468	Rhinoscleroma	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0085394	Bacterial infection due to Serratia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0085437	Bacterial meningitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0152965	Staphylococcal septicemia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0152973	Septicemia due to Serratia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0154640	Staphylococcal meningitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0155860	Pneumonia due to Pseudomonas	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0157749	Infectious disorder of joint	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0276088	Septicemia due to Escherichia coli	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0276089	Pneumonia due to Escherichia coli	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0338395	Escherichia coli meningitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0338396	Proteus meningitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0339968	Neonatal pneumonia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0343402	Bacterial infection due to Klebsiella pneumoniae	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0456103	Sepsis of the newborn	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0456107	Neonatal meningitis	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0577690	Proteus septicemia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0577708	Escherichia coli urinary tract infection	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0684256	Bacterial septicemia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0729524	Bacterial urinary infection	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C0949083	Nosocomial pneumonia	TREATS_CDtDO
UMLS:C0002499	amikacin	UMLS:C1112209	Infectious disease of abdomen	TREATS_CDtDO
UMLS:C0002502	amiloride	UMLS:C0013604	Edema	TREATS_CDtDO
UMLS:C0002502	amiloride	UMLS:C0020538	hypertension	TREATS_CDtDO
UMLS:C0002555	aminoglutethimide	UMLS:C0346993	Secondary malignant neoplasm of female breast	TREATS_CDtDO
UMLS:C0002563	aminolevulinic acid	UMLS:C0022602	Actinic keratosis	TREATS_CDtDO
UMLS:C0002563	aminolevulinic acid	UMLS:C0303920	Fluorescent stain	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0004096	asthma	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0006266	Bronchospasm	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0006277	Bronchitis	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0024115	Disorder of lung	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0034067	Pulmonary emphysema	TREATS_CDtDO
UMLS:C0002575	theophylline	UMLS:C0347950	Acute exacerbation of asthma	TREATS_CDtDO
UMLS:C0002598	amiodarone	UMLS:C0042510	Ventricular fibrillation	TREATS_CDtDO
UMLS:C0002600	amitriptyline	UMLS:C0011581	Depressive disorder	TREATS_CDtDO
UMLS:C0002600	amitriptyline	UMLS:C0338908	Mixed anxiety and depressive disorder	TREATS_CDtDO
UMLS:C0002607	ammonia	UMLS:C0001144	Acne vulgaris	TREATS_CDtDO
UMLS:C0002607	ammonia	UMLS:C0033860	psoriasis	TREATS_CDtDO
UMLS:C0002607	ammonia	UMLS:C0036508	Seborrheic dermatitis	TREATS_CDtDO
UMLS:C0002607	ammonia	UMLS:C0423775	Pityriasis simplex	TREATS_CDtDO
UMLS:C0002607	ammonia	UMLS:C0475811	Disorder of keratinization	TREATS_CDtDO
UMLS:C0002615	ammonium chloride	UMLS:C0009443	Common cold	TREATS_CDtDO
UMLS:C0002615	ammonium chloride	UMLS:C0010200	Cough	TREATS_CDtDO
UMLS:C0002615	ammonium chloride	UMLS:C0027424	Nasal congestion	TREATS_CDtDO
UMLS:C0002615	ammonium chloride	UMLS:C1260880	Nasal discharge	TREATS_CDtDO
UMLS:C0002644	amoxapine	UMLS:C0011581	Depressive disorder	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0004626	Bacterial pneumonia	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0014836	Infection due to Escherichia coli	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0031350	Pharyngitis	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0035468	Rhinoscleroma	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0042029	Urinary tract infectious disease	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0149725	Lower respiratory tract infection	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0155862	Pneumonia due to Streptococcus	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0271429	Acute otitis media	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0275556	Acute bacterial sinusitis	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0275804	Streptococcal tonsillitis	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0276026	Haemophilus influenzae pneumonia	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0343378	Helicobacter pylori-associated gastritis	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0519030	Pneumonia due to Klebsiella pneumoniae	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0520775	Klebsiella cystitis	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0554628	Streptococcus pyogenes infection	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0577708	Escherichia coli urinary tract infection	TREATS_CDtDO
UMLS:C0002645	amoxicillin	UMLS:C0729524	Bacterial urinary infection	TREATS_CDtDO
UMLS:C0002658	amfetamine	UMLS:C0027404	narcolepsy	TREATS_CDtDO
UMLS:C0002658	amfetamine	UMLS:C0028754	obesity	TREATS_CDtDO
UMLS:C0002658	amfetamine	UMLS:C1263846	Attention deficit hyperactivity disorder	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0001144	Acne vulgaris	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0001261	Actinomycotic infection	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0003175	Anthrax	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0004030	Aspergillosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0005716	Blastomycosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0006277	Bronchitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0006309	Brucellosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0006840	Candidiasis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0006846	Candidiasis of skin	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0006849	Candidiasis of mouth	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0009186	Coccidioidomycosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0009770	Inclusion conjunctivitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0010414	Cryptococcosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0011974	Diaper rash	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0018081	Gonorrhea	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0018190	Granuloma inguinale	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0019655	Histoplasmosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0023281	Leishmaniasis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0023290	visceral leishmaniasis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0024286	Lymphogranuloma venereum	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0026718	Mucormycosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0029291	Ornithosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0031350	Pharyngitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0032285	Pneumonia	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0034362	Q fever	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0035021	Relapsing fever	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0035597	Rickettsialpox	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0035793	Rocky Mountain spotted fever	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0037199	Sinusitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0039128	Syphilis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0040592	Trachoma	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0042029	Urinary tract infectious disease	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0043388	Yaws	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0085438	Fungal meningitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0149704	Gingivostomatitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0149966	Gonorrhea of pharynx	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0151874	Fungal infection of lung	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0153252	Disseminated candidiasis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0153254	Candidal endocarditis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0153256	Candidal meningitis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0239295	Candidiasis of the esophagus	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0275652	Acute gonococcal urethritis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0275665	Gonorrhea of rectum	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0276648	Mycotic endocarditis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0276653	Invasive pulmonary aspergillosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0276688	Pulmonary cryptococcosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0276725	Disseminated sporotrichosis	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0349009	Candidal septicemia	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C0877445	Candidemia	TREATS_CDtDO
UMLS:C0002679	amphotericin B	UMLS:C1112209	Infectious disease of abdomen	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0004626	Bacterial pneumonia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0008311	Cholangitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0013369	Infectious diarrheal disease	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0013371	Shigellosis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0014121	Bacterial endocarditis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0014347	Infection due to Enterobacteriaceae	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0014836	Infection due to Escherichia coli	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0018081	Gonorrhea	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0025294	Meningococcal meningitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0025295	Pneumococcal meningitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0030528	Paratyphoid fever	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0031350	Pharyngitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0032308	Staphylococcal pneumonia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0035468	Rhinoscleroma	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0037199	Sinusitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0042029	Urinary tract infectious disease	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0085437	Bacterial meningitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0152486	Salmonella septicemia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0152964	Streptococcal septicemia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0155814	Acute epiglottitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0155862	Pneumonia due to Streptococcus	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0271429	Acute otitis media	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0275555	Acute bacterial epiglottitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0275556	Acute bacterial sinusitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0275652	Acute gonococcal urethritis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0275665	Gonorrhea of rectum	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0275804	Streptococcal tonsillitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0276026	Haemophilus influenzae pneumonia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0276088	Septicemia due to Escherichia coli	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0338395	Escherichia coli meningitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0341503	Bacterial peritonitis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0520767	Staphylococcal endocarditis	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0577690	Proteus septicemia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0577709	Proteus urinary tract infection	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0684256	Bacterial septicemia	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C0729524	Bacterial urinary infection	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C1112209	Infectious disease of abdomen	TREATS_CDtDO
UMLS:C0002680	ampicillin	UMLS:C1263758	Female genital tract infection	TREATS_CDtDO
UMLS:C0002711	amyl nitrite	UMLS:C0238080	Toxic effect of cyanide	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0009766	Allergic conjunctivitis	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0027424	Nasal congestion	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0033774	Itching of skin	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0035460	Vasomotor rhinitis	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0037383	Sneezing	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0042109	Urticaria	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0235267	Red eye	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C0343065	Dermatographic urticaria	TREATS_CDtDO
UMLS:C0003143	antazoline	UMLS:C1260880	Nasal discharge	TREATS_CDtDO
UMLS:C0003524	azapropazone	UMLS:C0003873	rheumatoid arthritis	TREATS_CDtDO
UMLS:C0003524	azapropazone	UMLS:C0018099	gout	TREATS_CDtDO
UMLS:C0003524	azapropazone	UMLS:C0029408	Osteoarthritis	TREATS_CDtDO
UMLS:C0003524	azapropazone	UMLS:C0038013	ankylosing spondylitis	TREATS_CDtDO
UMLS:C0003596	apomorphine	UMLS:C0030567	Parkinson's disease	TREATS_CDtDO
UMLS:C0003639	aprindine	UMLS:C0085612	Ventricular arrhythmia	TREATS_CDtDO
UMLS:C0003639	aprindine	UMLS:C0428974	Supraventricular arrhythmia	TREATS_CDtDO
UMLS:C0003641	aprotinin	UMLS:C0019080	Hemorrhage	TREATS_CDtDO
UMLS:C0003968	ascorbic acid	UMLS:C1510471	Vitamin deficiency	TREATS_CDtDO
UMLS:C0003993	asparaginase	UMLS:C0023449	acute lymphocytic leukemia	TREATS_CDtDO
UMLS:C0004015	aspartic acid	UMLS:C0020621	Hypokalemia	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0003862	Joint pain	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0003873	rheumatoid arthritis	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0004604	Backache	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0009443	Common cold	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0029408	Osteoarthritis	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0030193	Pain	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0037195	Sinus headache	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0040460	Toothache	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0149931	migraine	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0264694	coronary artery disease	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0392171	Influenza-like symptoms	TREATS_CDtDO
UMLS:C0004057	acetylsalicylic acid	UMLS:C0393735	Headache disorder	TREATS_CDtDO
UMLS:C0004147	atenolol	UMLS:C0002962	Angina pectoris	TREATS_CDtDO
UMLS:C0004147	atenolol	UMLS:C0020538	hypertension	TREATS_CDtDO
UMLS:C0004147	atenolol	UMLS:C0264694	coronary artery disease	TREATS_CDtDO
UMLS:C0004234	atracurium	UMLS:C0026836	Muscle relaxation, function	TREATS_CDtDO
UMLS:C0004320	auranofin	UMLS:C0003873	rheumatoid arthritis	TREATS_CDtDO
UMLS:C0004475	azacitidine	UMLS:C0026986	Myelodysplastic syndrome	TREATS_CDtDO
UMLS:C0004482	azathioprine	UMLS:C0003873	rheumatoid arthritis	TREATS_CDtDO
