dc_struct_id,compound_umlscui,compound_name,relationship,dc_disease_id,disease_umlscui,disease_name,disease_umls_semantic_type,etype,salt,base,in_semmed,salt_in_semmed,base_in_semmed
5140,C0244713,interferon beta-1b,indication,21001080,C0026769,multiple sclerosis,T047,TREATS_CDtDO,,,False,False,False
5141,C0032143,alteplase,indication,40249281,C0948008,Ischemic stroke,T047,TREATS_CDtDO,,,True,False,False
5141,C0032143,alteplase,indication,40249251,C0264694,coronary artery disease,T047,TREATS_CDtDO,,,True,False,False
5141,C0032143,alteplase,indication,40249099,C0034065,Pulmonary embolism,T047,TREATS_CDtDO,,,True,False,False
4715,C3181682,cabozantinib,indication,21000450,C0740457,kidney cancer,T191,TREATS_CDtDO,C3468008,,False,False,False
5122,C4018308,ferric pyrophosphate citrate,indication,40249282,C3537005,Iron supplement therapy,T058,TREATS_CDtDO,,,False,False,False
5143,C2933912,opicapone,indication,21001057,C0030567,Parkinson's disease,T047,TREATS_CDtDO,,,False,False,False
5144,C0061387,gluconolactone,indication,40249283,C0005683,Urinary bladder stone,T047,TREATS_CDtDO,,,False,False,False
1957,C0132749,nomegestrol acetate,indication,21003454,C0700589,Contraception,T061,TREATS_CDtDO,,,False,False,False
5146,C0257928,ferumoxsil,indication,21012052,C0024485,Magnetic resonance imaging,T060,TREATS_CDtDO,,,False,False,False
5148,C0771648,poractant alfa,indication,21002955,C0035220,Respiratory distress syndrome in the newborn,T047,TREATS_CDtDO,,,True,False,False
2558,C0075784,talipexole,indication,21001057,C0030567,Parkinson's disease,T047,TREATS_CDtDO,,,True,False,False
5133,C4079830,venetoclax,indication,21000483,C0023434,chronic lymphocytic leukemia,T191,TREATS_CDtDO,,,False,False,False
5135,C1135662,dornase alfa,indication,21000765,C0010674,Cystic fibrosis,T047,TREATS_CDtDO,,,True,False,False
1593,C0771049,lofexidine,indication,21000926,C0029104,Opioid withdrawal,T048,TREATS_CDtDO,,C0065152,False,False,True
4171,C2608038,eribulin,indication,40249259,C0023827,Liposarcoma,T191,TREATS_CDtDO,,C2350866,False,False,False
5082,C0071568,pegaspargase,indication,21000482,C0023449,acute lymphocytic leukemia,T191,TREATS_CDtDO,,,True,False,False
5080,C4080052,elbasvir,indication,21000193,C0524910,Chronic hepatitis C,T047,TREATS_CDtDO,,,False,False,False
5081,C4080053,grazoprevir,indication,21000193,C0524910,Chronic hepatitis C,T047,TREATS_CDtDO,,,False,False,False
2019,C0134351,oxetorone,indication,21001116,C0149931,migraine,T047,TREATS_CDtDO,,C0069760,False,False,True
2345,C0139693,quingestanol acetate,indication,21003455,C0419527,Postcoital contraception,T061,TREATS_CDtDO,,,False,False,False
5083,C3489764,ixekizumab,indication,21002686,C0406317,Plaque psoriasis,T047,TREATS_CDtDO,,,False,False,False
1178,C0016245,floctafenine,indication,40249270,C0184567,Acute pain,T184,TREATS_CDtDO,,,False,False,False
5086,C3660637,besilesomab,indication,40249248,C0034606,Nuclear medicine imaging procedure,T058,TREATS_CDtDO,,,False,False,False
60,C0050461,racecadotril,indication,40249271,C0740441,Acute diarrhea,T047,TREATS_CDtDO,,,True,False,False
1132,C0062068,fasudil,indication,21001633,C0917798,Cerebral ischemia,T047,TREATS_CDtDO,,,True,False,False
5087,C0717670,denileukin diftitox,indication,21000474,C0079773,Primary cutaneous T-cell lymphoma,T191,TREATS_CDtDO,,,True,False,False
5088,C0962603,alefacept,indication,21002686,C0406317,Plaque psoriasis,T047,TREATS_CDtDO,,,False,False,False
5089,C1619966,abatacept,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
5089,C1619966,abatacept,indication,40249139,C3495559,Juvenile rheumatoid arthritis,T047,TREATS_CDtDO,,,False,False,False
1867,C0207683,nafamostat,indication,21000765,C0010674,Cystic fibrosis,T047,TREATS_CDtDO,C0207682,,False,False,False
5090,C2977963,arterolane,indication,21000225,C0024530,malaria,T047,TREATS_CDtDO,,,False,False,False
311,C0053111,benoxaprofen,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
1203,C0060504,flunoxaprofen,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
5064,C0666079,climbazole,indication,21002627,C0036508,Seborrheic dermatitis,T047,TREATS_CDtDO,,,False,False,False
5066,C0872913,tenecteplase,indication,40249251,C0264694,coronary artery disease,T047,TREATS_CDtDO,,,True,False,False
5067,C3273711,ixazomib,indication,21000480,C0376544,hematologic cancer,T191,TREATS_CDtDO,,,False,False,False
5068,C1699861,brivaracetam,indication,40249061,C0014544,epilepsy,T047,TREATS_CDtDO,,,False,False,False
5063,C2346801,daratumumab,indication,21000480,C0376544,hematologic cancer,T191,TREATS_CDtDO,,,False,False,False
5070,C0003993,asparaginase,indication,21000482,C0023449,acute lymphocytic leukemia,T191,TREATS_CDtDO,,,True,False,False
4923,C3657270,nivolumab,indication,40249200,C0278678,Metastatic renal cell carcinoma,T191,TREATS_CDtDO,,,False,False,False
5071,C2352806,necitumumab,indication,21000523,C0153493,lung cancer,T191,TREATS_CDtDO,,,False,False,False
2560,C2960839,taltirelin,indication,40249262,C0037952,Spinocerebellar disease,T047,TREATS_CDtDO,,,False,False,False
4904,C1122087,adalimumab,indication,40249263,C0162836,Hidradenitis suppurativa,T047,TREATS_CDtDO,,,True,False,False
5072,C1832049,elotuzumab,indication,21000480,C0376544,hematologic cancer,T191,TREATS_CDtDO,,,False,False,False
1141,C0877860,felbinac,indication,21002811,C0029408,Osteoarthritis,T047,TREATS_CDtDO,,,False,False,False
1141,C0877860,felbinac,indication,21003079,C0030193,Pain,T184,TREATS_CDtDO,,,False,False,False
982,C0301366,echothiophate,indication,40249265,C0271093,Stargardt's disease,T033,TREATS_CDtDO,,,False,False,False
3704,C0054820,caroxazone,indication,21001022,C0011581,Depressive disorder,T048,TREATS_CDtDO,,,True,False,False
1008,C0116074,endralazine,indication,21001432,C0020538,hypertension,T047,TREATS_CDtDO,C2699995,,True,False,False
4374,C2697942,lorcaserin,indication,21000789,C0028754,obesity,T047,TREATS_CDtDO,,C2350948,False,False,False
5029,C0281351,uridine triacetate,indication,40249264,C0572583,Antimetabolite overdose,T037,TREATS_CDtDO,,,False,False,False
5075,C3886073,lesinurad,indication,21003276,C0740394,Hyperuricemia,T047,TREATS_CDtDO,,,False,False,False
107,C0001937,alclofenac,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
107,C0001937,alclofenac,indication,21003079,C0030193,Pain,T184,TREATS_CDtDO,,,True,False,False
2206,C0071143,pirlindole,indication,21001022,C0011581,Depressive disorder,T048,TREATS_CDtDO,,,True,False,False
5046,C4049146,cobimetinib,indication,21000439,C0860594,Metastatic malignant melanoma,T191,TREATS_CDtDO,,,False,False,False
231,C0003639,aprindine,indication,21001575,C0428974,Supraventricular arrhythmia,T046,TREATS_CDtDO,C0771404,,False,False,False
231,C0003639,aprindine,indication,21001574,C0085612,Ventricular arrhythmia,T046,TREATS_CDtDO,C0771404,,True,False,False
5047,C3852920,saroglitazar,indication,40249252,C3661933,Diabetic dyslipidemia associated with type 2 diabetes mellitus,T047,TREATS_CDtDO,,,False,False,False
5048,C3529928,pitolisant,indication,21001119,C0027404,narcolepsy,T047,TREATS_CDtDO,,,False,False,False
5049,C3490795,asfotase alfa,indication,40249253,C0020630,Hypophosphatasia,T047,TREATS_CDtDO,,,False,False,False
1002,C0059081,emorfazone,indication,21003079,C0030193,Pain,T184,TREATS_CDtDO,,,False,False,False
5051,C0162745,collagenase,indication,40249255,C0410065,"Dupuytren's disease of finger, with contracture",T047,TREATS_CDtDO,,,False,False,False
5051,C0162745,collagenase,indication,21002384,C0030848,Induratio penis plastica,T047,TREATS_CDtDO,,,True,False,False
2491,C0143993,sufentanil,indication,40248973,C0030201,Postoperative pain,T184,TREATS_CDtDO,C0162792,,True,False,False
4924,C3658706,pembrolizumab,indication,21000523,C0153493,lung cancer,T191,TREATS_CDtDO,,,False,False,False
569,C0055021,celiprolol,indication,21001432,C0020538,hypertension,T047,TREATS_CDtDO,C0700475,,True,False,False
569,C0055021,celiprolol,indication,21001460,C0002962,Angina pectoris,T033,TREATS_CDtDO,C0700475,,True,False,False
1510,C0022267,isoxsuprine,indication,40249256,C0034734,Raynaud's disease,T047,TREATS_CDtDO,C0282213,,False,False,False
3186,C0771595,eseridine,indication,21002059,C0013395,Indigestion,T184,TREATS_CDtDO,,,False,False,False
1900,C2698448,nepinalone,indication,40249073,C0850149,Non-productive cough,T184,TREATS_CDtDO,,,False,False,False
1777,C0873165,meticrane,indication,21001432,C0020538,hypertension,T047,TREATS_CDtDO,,,False,False,False
164,C0002555,aminoglutethimide,indication,40249213,C0346993,Secondary malignant neoplasm of female breast,T191,TREATS_CDtDO,,,False,False,False
5022,C0754280,flibanserin,indication,40249236,C0020594,Lack or loss of sexual desire,T048,TREATS_CDtDO,,,True,False,False
5025,C0216231,sargramostim,indication,21013444,C1827687,Chemotherapy-induced neutropenia,T037,TREATS_CDtDO,,,False,False,False
5026,C0537670,oprelvekin,indication,21000878,C0040034,thrombocytopenia,T033,TREATS_CDtDO,,,True,False,False
5000,C3529352,evolocumab,indication,21008593,C0342882,Familial hypercholesterolemia - heterozygous,T019,TREATS_CDtDO,,,False,False,False
5000,C3529352,evolocumab,indication,21000702,C0342881,Familial hypercholesterolemia - homozygous,T019,TREATS_CDtDO,,,False,False,False
295,C0053071,befunolol,indication,21001204,C0028840,Ocular hypertension,T047,TREATS_CDtDO,,,False,False,False
295,C0053071,befunolol,indication,21001205,C0017601,glaucoma,T047,TREATS_CDtDO,,,True,False,False
5027,C3273719,rolapitant,indication,40249135,C0401160,Chemotherapy-induced nausea and vomiting,T046,TREATS_CDtDO,C3273721,,False,False,False
2193,C0770895,pipotiazine palmitate,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,,,True,False,False
1211,C0770891,flupentixol,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,,,False,False,False
2112,C0084572,perospirone,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,,,True,False,False
945,C0013015,domperidone,indication,21003217,C0027498,Nausea and vomiting,T184,TREATS_CDtDO,,,True,False,False
1712,C0025497,mesoridazine,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,C0700543,,True,False,False
1222,C0016383,fluspirilene,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,,,True,False,False
5016,C3491162,alirocumab,indication,21000701,C0020443,Hypercholesterolemia,T047,TREATS_CDtDO,,,False,False,False
5016,C3491162,alirocumab,indication,40249223,C3875286,Complex dyslipidemia,T047,TREATS_CDtDO,,,False,False,False
5016,C3491162,alirocumab,indication,21008593,C0342882,Familial hypercholesterolemia - heterozygous,T019,TREATS_CDtDO,,,False,False,False
5016,C3491162,alirocumab,indication,40249233,C0004153,atherosclerosis,T047,TREATS_CDtDO,,,False,False,False
5017,C0245109,anakinra,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
5017,C0245109,anakinra,indication,40249187,C2316212,Cryopyrin associated periodic syndrome,T047,TREATS_CDtDO,,,False,False,False
5017,C0245109,anakinra,indication,40249234,C0409818,"Chronic infantile neurological, cutaneous and articular syndrome",T047,TREATS_CDtDO,,,True,False,False
5018,C1137427,agalsidase beta,indication,40249235,C0002986,Fabry's disease,T047,TREATS_CDtDO,,,True,False,False
5019,C4018188,turoctocog alfa,indication,21000848,C0019069,Hereditary factor VIII deficiency disease,T047,TREATS_CDtDO,,,False,False,False
4147,C0754820,gadoversetamide,indication,21012052,C0024485,Magnetic resonance imaging,T060,TREATS_CDtDO,,,False,False,False
5020,C0755906,olanexidine,indication,40249064,C0443072,Antiseptic preparation,T121,TREATS_CDtDO,,,False,False,False
5021,C0962517,agalsidase alfa,indication,40249235,C0002986,Fabry's disease,T047,TREATS_CDtDO,,,True,False,False
5012,C4033447,sacubitril,indication,21001578,C0264716,Chronic heart failure,T047,TREATS_CDtDO,,,False,False,False
5013,C4045234,trelagliptin,indication,21000594,C0011860,type 2 diabetes mellitus,T047,TREATS_CDtDO,,,False,False,False
2200,C0031978,pirenzepine,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,C0770946,,True,False,False
3377,C1882065,neridronic acid,indication,21002896,C0029456,osteoporosis,T047,TREATS_CDtDO,,,False,False,False
1431,C1881172,incadronic acid,indication,21002896,C0029456,osteoporosis,T047,TREATS_CDtDO,,,False,False,False
3052,C2347239,butedronic acid,indication,21002896,C0029456,osteoporosis,T047,TREATS_CDtDO,,,False,False,False
2595,C0076096,tenoxicam,indication,21002816,C0003864,Arthritis,T047,TREATS_CDtDO,,,True,False,False
3377,C1882065,neridronic acid,indication,21000551,C0149911,Humoral hypercalcemia of malignancy,T047,TREATS_CDtDO,,,False,False,False
5014,C3885614,brexpiprazole,indication,21000948,C0036341,Schizophrenia,T048,TREATS_CDtDO,,,False,False,False
5014,C3885614,brexpiprazole,indication,21000952,C1269683,Major depressive disorder,T048,TREATS_CDtDO,,,False,False,False
5015,C0913469,pegvisomant,indication,21000613,C0001206,Acromegaly,T047,TREATS_CDtDO,,,True,False,False
1405,C0123043,ibopamine,indication,21001588,C0018801,Heart failure,T047,TREATS_CDtDO,,,True,False,False
1402,C0596004,hyoscyamine,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,C0304422,,False,False,False
4989,C2919267,velaglucerase alfa,indication,40249217,C1961835,Chronic non-neuropathic Gaucher's disease,T047,TREATS_CDtDO,,,False,False,False
1999,C0029309,orphenadrine,indication,21001054,C0242422,Parkinsonism,T047,TREATS_CDtDO,C0699481,,True,False,False
4990,C2935436,trastuzumab emtansine,indication,40249204,C1960398,HER2-positive carcinoma of breast,T191,TREATS_CDtDO,,,False,False,False
4991,C3640212,lipegfilgrastim,indication,21013444,C1827687,Chemotherapy-induced neutropenia,T037,TREATS_CDtDO,,,False,False,False
1854,C0875968,moxifloxacin,indication,40249218,C0524688,Pneumonic plague,T047,TREATS_CDtDO,,,False,False,False
1854,C0875968,moxifloxacin,indication,40249219,C0152936,Septicemic plague,T047,TREATS_CDtDO,,,False,False,False
4994,C0937932,rasburicase,indication,21003276,C0740394,Hyperuricemia,T047,TREATS_CDtDO,,,True,False,False
4424,C0006834,candicidin,indication,40249220,C0006852,Candidiasis of vagina,T047,TREATS_CDtDO,,,True,False,False
4848,C0169964,somatropin,indication,21002946,C0032897,Prader-Willi syndrome,T019,TREATS_CDtDO,,,True,False,False
4848,C0169964,somatropin,indication,21000617,C0020635,hypopituitarism,T047,TREATS_CDtDO,,,True,False,False
4848,C0169964,somatropin,indication,21002944,C0041408,Turner syndrome,T019,TREATS_CDtDO,,,True,False,False
4995,C0357126,epoetin alfa,indication,40249039,C1561828,Anemia in chronic kidney disease,T047,TREATS_CDtDO,,,False,False,False
4995,C0357126,epoetin alfa,indication,40249221,C1998329,Anemia due to chemotherapy,T037,TREATS_CDtDO,,,False,False,False
4996,C2364481,romiplostim,indication,21013924,C0272293,Chronic idiopathic thrombocytopenic purpura,T047,TREATS_CDtDO,,,False,False,False
4997,C1302054,laronidase,indication,40249222,C0023786,"Mucopolysaccharidosis, MPS-I",T047,TREATS_CDtDO,,,False,False,False
4998,C0051510,aluminum acetate,indication,21003119,C0152030,Skin irritation,T184,TREATS_CDtDO,,,False,False,False
4999,C3817397,elosulfase alfa,indication,40249224,C0086651,"Mucopolysaccharidosis, MPS-IV-A",T047,TREATS_CDtDO,,,False,False,False
5000,C3529352,evolocumab,indication,21000701,C0020443,Hypercholesterolemia,T047,TREATS_CDtDO,,,False,False,False
5000,C3529352,evolocumab,indication,40249223,C3875286,Complex dyslipidemia,T047,TREATS_CDtDO,,,False,False,False
471,C0129975,camostat,indication,40249137,C0677659,Gastro-esophageal reflux disease with esophagitis,T047,TREATS_CDtDO,C0108225,,False,False,False
2853,C0043355,xipamide,indication,21001432,C0020538,hypertension,T047,TREATS_CDtDO,,,True,False,False
2853,C0043355,xipamide,indication,21003125,C0013604,Edema,T046,TREATS_CDtDO,,,True,False,False
1618,C1176415,lumiracoxib,indication,21002811,C0029408,Osteoarthritis,T047,TREATS_CDtDO,,,True,False,False
266,C0003524,azapropazone,indication,21002811,C0029408,Osteoarthritis,T047,TREATS_CDtDO,,,True,False,False
266,C0003524,azapropazone,indication,21000716,C0018099,gout,T047,TREATS_CDtDO,,,True,False,False
266,C0003524,azapropazone,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
266,C0003524,azapropazone,indication,21002827,C0038013,ankylosing spondylitis,T047,TREATS_CDtDO,,,True,False,False
4986,C1136535,pegfilgrastim,indication,21013444,C1827687,Chemotherapy-induced neutropenia,T037,TREATS_CDtDO,,,False,False,False
4987,C0210630,filgrastim,indication,21013444,C1827687,Chemotherapy-induced neutropenia,T037,TREATS_CDtDO,,,False,False,False
4987,C0210630,filgrastim,indication,21000893,C0340970,Congenital neutropenia,T019,TREATS_CDtDO,,,True,False,False
4987,C0210630,filgrastim,indication,40249215,C0221023,Cyclical neutropenia,T047,TREATS_CDtDO,,,True,False,False
4987,C0210630,filgrastim,indication,40249216,C2267231,Chronic idiopathic neutropenia,T047,TREATS_CDtDO,,,False,False,False
1193,C0016282,flufenamic acid,indication,21003079,C0030193,Pain,T184,TREATS_CDtDO,,,True,False,False
2093,C0301375,penthienate,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,,,False,False,False
2093,C0301375,penthienate,indication,40249211,C0581358,Gastric spasm,T184,TREATS_CDtDO,,,False,False,False
2226,C0071325,poldine,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,,,False,False,False
1778,C0066454,metipamide,indication,21001432,C0020538,hypertension,T047,TREATS_CDtDO,,,False,False,False
3312,C4019965,ivabradine,indication,21001578,C0264716,Chronic heart failure,T047,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002715,C0002171,alopecia areata,T047,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002671,C0024138,Discoid lupus erythematosus,T047,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002705,C0022548,Keloid scar,T020,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002687,C0023646,Lichen planus,T047,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002692,C0149922,Lichen simplex chronicus,T047,TREATS_CDtDO,,,False,False,False
4976,C0077004,triamcinolone hexacetonide,indication,21002757,C0392445,Necrobiosis lipoidica diabeticorum,T047,TREATS_CDtDO,,,False,False,False
4977,C1609931,siltuximab,indication,40249172,C0017531,Angiofollicular lymph node hyperplasia,T047,TREATS_CDtDO,,,False,False,False
196,C0051750,amfetaminil,indication,21001119,C0027404,narcolepsy,T047,TREATS_CDtDO,,,False,False,False
4978,C0717758,etanercept,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,True,False,False
